ID,Name,Compartment,"Copy number, typical",Type,Role
TU_038,MG_062,c,0,rna,substrate
TU_039,MG_063,c,0,rna,substrate
TU_040,MG_064 - MG_065,c,0,rna,substrate
TU_041,MG_066,c,0,rna,substrate
TU_042,MG_067 - MG_068,c,0,rna,substrate
TU_043,MG_069,c,0,rna,substrate
TU_044,MG_070,c,0,rna,substrate
TU_045,MG_071,c,0,rna,substrate
TU_046,MG_072,c,0,rna,substrate
TU_047,MG_073,c,0,rna,substrate
TU_048,MG_074,c,0,rna,substrate
TU_049,MG_075,c,1,rna,substrate
TU_050,MG_076,c,0,rna,substrate
TU_051,MG_077 - MG_080,c,0,rna,substrate
TU_052,MG_081 - MG_082,c,0,rna,substrate
TU_053,MG_083,c,0,rna,substrate
TU_054,MG_084 - MG_085,c,1,rna,substrate
TU_055,MG_086 - MG_089,c,0,rna,substrate
TU_056,MG_090,c,0,rna,substrate
TU_057,MG_091,c,2,rna,substrate
TU_058,MG_092,c,2,rna,substrate
TU_059,MG_093 - MG_095,c,0,rna,substrate
TU_060,MG_096,c,0,rna,substrate
TU_061,MG_097,c,0,rna,substrate
TU_062,MG_098 - MG_100,c,2,rna,substrate
TU_063,MG_101 - MG_103,c,0,rna,substrate
TU_064,MG_476,c,0,rna,substrate
TU_065,MG_104,c,0,rna,substrate
TU_066,MG_105,c,1,rna,substrate
TU_067,MG_106,c,0,rna,substrate
TU_068,MG_107 - MG_110,c,0,rna,substrate
TU_069,MG_111 - MG_112,c,0,rna,substrate
TU_070,MG_113,c,0,rna,substrate
TU_071,MG_114,c,0,rna,substrate
TU_072,MG_115,c,0,rna,substrate
TU_073,MG_116 - MG_118,c,0,rna,substrate
TU_074,MG_119 - MG_122,c,0,rna,substrate
TU_075,MG_123,c,0,rna,substrate
TU_076,MG_124 - MG_125,c,0,rna,substrate
TU_077,MG_126,c,0,rna,substrate
TU_078,MG_127 - MG_128,c,0,rna,substrate
TU_079,MG_129,c,0,rna,substrate
TU_080,MG_130,c,0,rna,substrate
TU_081,MG_131,c,0,rna,substrate
TU_082,MG_132,c,0,rna,substrate
TU_083,MG_133,c,0,rna,substrate
TU_084,MG_134,c,0,rna,substrate
TU_085,MG_135,c,0,rna,substrate
TU_086,MG_136 - MG_138,c,1,rna,substrate
TU_087,MG_139,c,0,rna,substrate
MGrrnA16S,16S ribosomal rRNA,c,0,rna,substrate
MGrrnA23S,23S ribosomal rRNA,c,0,rna,substrate
MGrrnA5S,5S ribosomal rRNA,c,29,rna,substrate
TU_089,MG_140,c,0,rna,substrate
TU_090,MG_141,c,0,rna,substrate
TU_091,MG_477,c,0,rna,substrate
TU_092,MG_142 - MG_144,c,1,rna,substrate
TU_093,MG_145,c,0,rna,substrate
TU_094,MG_146,c,1,rna,substrate
TU_095,MG_147,c,0,rna,substrate
TU_096,MG_148,c,0,rna,substrate
TU_097,MG_149,c,0,rna,substrate
TU_098,MG_478,c,0,rna,substrate
TU_099,MG_150,c,1,rna,substrate
TU_100,MG_151,c,0,rna,substrate
TU_101,MG_152 - MG_153,c,1,rna,substrate
TU_102,MG_154 - MG_163,c,0,rna,substrate
TU_103,MG_164,c,0,rna,substrate
TU_104,MG_165 - MG_169,c,1,rna,substrate
TU_105,MG_170 - MG_173,c,1,rna,substrate
TU_106,MG_174,c,0,rna,substrate
TU_107,MG_175 - MG_177,c,1,rna,substrate
TU_108,MG_178,c,0,rna,substrate
TU_109,MG_179,c,0,rna,substrate
TU_110,MG_180,c,0,rna,substrate
TU_111,MG_181,c,0,rna,substrate
TU_112,MG_182,c,0,rna,substrate
TU_113,MG_183 - MG_184,c,0,rna,substrate
TU_114,MG_185,c,0,rna,substrate
TU_115,MG_186,c,0,rna,substrate
TU_116,MG_187 - MG_189,c,0,rna,substrate
TU_117,MG_190,c,1,rna,substrate
TU_118,MG_191 - MG_192,c,0,rna,substrate
TU_119,MG_194 - MG_195,c,0,rna,substrate
TU_120,MG_196 - MG_198,c,1,rna,substrate
TU_121,MG_199,c,0,rna,substrate
TU_122,MG_200 - MG_202,c,0,rna,substrate
MG479,MG479,c,12,rna,substrate/product
TU_124,MG_203 - MG_204,c,0,rna,substrate
TU_125,MG_205,c,0,rna,substrate
TU_126,MG_206,c,0,rna,substrate
TU_127,MG_207,c,1,rna,substrate
TU_128,MG_208 - MG_210,c,0,rna,substrate
TU_129,MG_480,c,1,rna,substrate
TU_130,MG_481,c,2,rna,substrate
TU_131,"MG_211, MG_212, MG_482",c,0,rna,substrate
TU_132,MG_213 - MG_214,c,2,rna,substrate
TU_133,MG_215 - MG_216,c,2,rna,substrate
MG483,MG483,c,5,rna,substrate/product
MG484,MG484,c,30,rna,substrate/product
MG485,MG485,c,6,rna,substrate/product
MG486,MG486,c,22,rna,substrate/product
MG487,MG487,c,10,rna,substrate/product
MG488,MG488,c,5,rna,substrate/product
MG489,MG489,c,42,rna,substrate/product
MG490,MG490,c,27,rna,substrate/product
TU_142,MG_217,c,0,rna,substrate
TU_143,"MG_218, MG_491",c,0,rna,substrate
TU_144,MG_219,c,0,rna,substrate
TU_145,MG_220,c,0,rna,substrate
MG492,MG492,c,6,rna,substrate/product
TU_147,MG_221 - MG_223,c,0,rna,substrate
TU_148,MG_224,c,2,rna,substrate
TU_149,MG_225 - MG_226,c,0,rna,substrate
TU_150,MG_227,c,0,rna,substrate
TU_151,MG_228 - MG_231,c,1,rna,substrate
TU_152,MG_232 - MG_236,c,1,rna,substrate
TU_153,MG_237,c,0,rna,substrate
TU_154,MG_238,c,0,rna,substrate
TU_155,MG_239,c,0,rna,substrate
TU_156,MG_240,c,1,rna,substrate
TU_157,MG_241,c,0,rna,substrate
TU_158,MG_242,c,0,rna,substrate
TU_159,MG_243 - MG_244,c,0,rna,substrate
TU_160,MG_245,c,0,rna,substrate
TU_161,MG_246,c,0,rna,substrate
TU_162,MG_247,c,0,rna,substrate
TU_163,MG_248 - MG_249,c,0,rna,substrate
TU_164,MG_250 - MG_251,c,0,rna,substrate
TU_165,MG_252 - MG_254,c,2,rna,substrate
MG493,MG493,c,25,rna,substrate/product
TU_167,"MG_255, MG_494",c,0,rna,substrate
MG495,MG495,c,3,rna,substrate/product
MG496,MG496,c,4,rna,substrate/product
TU_169,MG_256,c,0,rna,substrate
TU_170,MG_257 - MG_259,c,2,rna,substrate
TU_171,MG_260,c,0,rna,substrate
MG497,MG497,c,4,rna,substrate/product
TU_173,"MG_261, MG_262, MG_498",c,0,rna,substrate
TU_174,MG_263,c,0,rna,substrate
TU_175,MG_264,c,0,rna,substrate
TU_176,MG_265 - MG_267,c,0,rna,substrate
TU_177,MG_268,c,0,rna,substrate
MG_0001,"scRNA, signal recognition particle 4.5S RNA, MCS1",c,0,rna,substrate
TU_179,MG_269,c,0,rna,substrate
TU_180,MG_270 - MG_272,c,3,rna,substrate
MG_0002,MG170 RNA,c,21,rna,substrate
TU_182,MG_273 - MG_275,c,6,rna,substrate
TU_183,MG_276,c,0,rna,substrate
TU_184,MG_277,c,0,rna,substrate
TU_185,MG_278,c,0,rna,substrate
TU_186,MG_279 - MG_281,c,0,rna,substrate
MG499,MG499,c,21,rna,substrate/product
MG500,MG500,c,30,rna,substrate/product
MG501,MG501,c,18,rna,substrate/product
MG502,MG502,c,37,rna,substrate/product
MG503,MG503,c,22,rna,substrate/product
TU_190,MG_282,c,0,rna,substrate
TU_191,MG_283,c,0,rna,substrate
TU_192,MG_284 - MG_286,c,0,rna,substrate
TU_193,MG_287,c,1,rna,substrate
MG504,MG504,c,4,rna,substrate/product
TU_195,MG_288,c,0,rna,substrate
TU_196,MG_289 - MG_291,c,0,rna,substrate
TU_197,MG_505,c,1,rna,substrate
TU_198,MG_292 - MG_294,c,0,rna,substrate
TU_199,MG_295,c,0,rna,substrate
TU_200,MG_296,c,0,rna,substrate
TU_201,MG_297,c,0,rna,substrate
TU_202,MG_298,c,1,rna,substrate
TU_203,MG_299,c,0,rna,substrate
TU_204,MG_300 - MG_301,c,0,rna,substrate
TU_205,MG_302,c,0,rna,substrate
TU_206,MG_303,c,0,rna,substrate
TU_207,MG_304,c,0,rna,substrate
TU_208,MG_305,c,0,rna,substrate
TU_209,MG_306,c,0,rna,substrate
TU_210,MG_307,c,0,rna,substrate
TU_211,MG_308 - MG_309,c,0,rna,substrate
TU_212,MG_310,c,0,rna,substrate
TU_213,MG_311,c,0,rna,substrate
TU_214,MG_312,c,1,rna,substrate
TU_215,MG_313 - MG_315,c,0,rna,substrate
TU_216,MG_316,c,0,rna,substrate
TU_217,MG_317 - MG_318,c,0,rna,substrate
TU_218,MG_319,c,0,rna,substrate
TU_219,MG_320,c,0,rna,substrate
MG506,MG506,c,7,rna,substrate/product
MG507,MG507,c,11,rna,substrate/product
TU_222,MG_321,c,0,rna,substrate
MG508,MG508,c,30,rna,substrate/product
MG509,MG509,c,28,rna,substrate/product
MG510,MG510,c,25,rna,substrate/product
MG511,MG511,c,27,rna,substrate/product
MG512,MG512,c,30,rna,substrate/product
MG513,MG513,c,27,rna,substrate/product
MG514,MG514,c,27,rna,substrate/product
TU_224,MG_322,c,0,rna,substrate
TU_225,MG_323,c,0,rna,substrate
MG_0003,"Rnase P RNA, MCS5, M1 RNA",c,0,rna,substrate
MG_0004,"transfer-messenger RNA, tmRNA, MCS6, 10Sa RNA",c,2,rna,substrate
TU_228,"MG_324, MG_325, MG_515",c,0,rna,substrate
TU_229,MG_326,c,0,rna,substrate
TU_230,MG_327,c,0,rna,substrate
TU_231,MG_328,c,0,rna,substrate
TU_232,MG_329,c,0,rna,substrate
TU_233,MG_330 - MG_333,c,0,rna,substrate
TU_234,MG_334,c,0,rna,substrate
TU_235,MG_335,c,0,rna,substrate
TU_236,MG_516,c,0,rna,substrate
TU_237,MG_517,c,0,rna,substrate
TU_238,MG_336,c,0,rna,substrate
TU_239,MG_337,c,0,rna,substrate
TU_240,MG_338,c,0,rna,substrate
TU_241,MG_339,c,1,rna,substrate
TU_242,MG_340 - MG_341,c,2,rna,substrate
TU_243,MG_342,c,0,rna,substrate
TU_244,MG_343,c,0,rna,substrate
TU_245,MG_344,c,0,rna,substrate
TU_246,MG_345,c,0,rna,substrate
TU_247,MG_346 - MG_347,c,0,rna,substrate
MG518,MG518,c,9,rna,substrate/product
TU_249,MG_348,c,0,rna,substrate
MG519,MG519,c,13,rna,substrate/product
TU_251,MG_349 - MG_350,c,0,rna,substrate
MG520,MG520,c,16,rna,substrate/product
TU_253,MG_521,c,0,rna,substrate
TU_254,MG_351,c,0,rna,substrate
TU_255,MG_352,c,0,rna,substrate
TU_256,MG_353,c,0,rna,substrate
TU_257,MG_354,c,0,rna,substrate
TU_258,MG_355,c,1,rna,substrate
TU_259,MG_356,c,0,rna,substrate
TU_260,MG_357,c,0,rna,substrate
TU_261,MG_358 - MG_359,c,0,rna,substrate
TU_262,MG_360,c,0,rna,substrate
TU_263,MG_361 - MG_363,c,0,rna,substrate
TU_264,MG_522,c,0,rna,substrate
TU_265,MG_364,c,0,rna,substrate
TU_266,MG_365,c,0,rna,substrate
TU_267,MG_366,c,0,rna,substrate
TU_268,MG_367 - MG_369,c,0,rna,substrate
TU_269,MG_370,c,0,rna,substrate
TU_270,MG_371,c,0,rna,substrate
TU_271,MG_372 - MG_375,c,0,rna,substrate
TU_272,MG_376,c,0,rna,substrate
TU_273,MG_377,c,0,rna,substrate
TU_274,MG_378,c,0,rna,substrate
TU_275,MG_379 - MG_381,c,0,rna,substrate
MG523,MG523,c,6,rna,substrate/product
TU_277,MG_382,c,0,rna,substrate
TU_278,MG_383,c,0,rna,substrate
TU_279,MG_384,c,0,rna,substrate
TU_280,"MG_385, MG_524",c,0,rna,substrate
TU_281,MG_386,c,0,rna,substrate
TU_282,MG_387 - MG_388,c,0,rna,substrate
TU_283,MG_389,c,0,rna,substrate
TU_284,MG_390,c,0,rna,substrate
TU_285,MG_391 - MG_393,c,2,rna,substrate
TU_286,MG_394,c,0,rna,substrate
TU_287,MG_395,c,0,rna,substrate
TU_288,MG_396 - MG_397,c,0,rna,substrate
TU_289,MG_398,c,0,rna,substrate
TU_290,MG_399,c,0,rna,substrate
TU_291,MG_400 - MG_401,c,0,rna,substrate
TU_292,MG_402 - MG_405,c,0,rna,substrate
TU_293,MG_406,c,0,rna,substrate
TU_294,MG_407,c,1,rna,substrate
TU_295,MG_408,c,0,rna,substrate
TU_296,MG_409 - MG_412,c,0,rna,substrate
TU_297,MG_414,c,0,rna,substrate
TU_298,MG_525,c,0,rna,substrate
TU_299,MG_417,c,1,rna,substrate
TU_300,MG_418,c,0,rna,substrate
TU_301,"MG_419, MG_421, MG_422, MG_423",c,0,rna,substrate
TU_302,MG_424,c,0,rna,substrate
TU_303,MG_425,c,0,rna,substrate
TU_304,MG_426,c,0,rna,substrate
TU_305,MG_427,c,1,rna,substrate
TU_306,MG_428,c,0,rna,substrate
TU_307,MG_429 - MG_431,c,0,rna,substrate
TU_308,MG_432,c,0,rna,substrate
TU_309,MG_433,c,0,rna,substrate
TU_310,MG_434,c,0,rna,substrate
TU_311,MG_435,c,0,rna,substrate
TU_312,MG_437,c,0,rna,substrate
TU_313,MG_438,c,0,rna,substrate
TU_314,MG_439,c,0,rna,substrate
TU_315,MG_440 - MG_441,c,0,rna,substrate
TU_316,MG_442 - MG_443,c,0,rna,substrate
TU_317,MG_444 - MG_446,c,0,rna,substrate
TU_318,MG_447,c,0,rna,substrate
TU_319,MG_448,c,0,rna,substrate
TU_320,MG_449,c,0,rna,substrate
TU_321,MG_450 - MG_451,c,0,rna,substrate
TU_322,MG_452 - MG_453,c,2,rna,substrate
TU_323,MG_454,c,0,rna,substrate
TU_324,MG_455,c,1,rna,substrate
TU_325,MG_456,c,0,rna,substrate
TU_326,MG_457,c,0,rna,substrate
TU_327,MG_458,c,0,rna,substrate
TU_328,MG_459,c,0,rna,substrate
TU_329,MG_460,c,0,rna,substrate
TU_330,MG_461 - MG_462,c,1,rna,substrate
TU_331,MG_463 - MG_465,c,1,rna,substrate
TU_332,MG_466,c,0,rna,substrate
TU_333,MG_467 - MG_468,c,0,rna,substrate
TU_334,MG_526,c,0,rna,substrate
TU_335,MG_469 - MG_470,c,0,rna,substrate
MG471_aa,MG471-AA,c,72,rna-aa,substrate
MG472_aa,MG472-AA,c,72,rna-aa,substrate
MG475_aa,MG475-AA,c,14,rna-aa,substrate
MG479_aa,MG479-AA,c,25,rna-aa,substrate
MG483_aa,MG483-AA,c,10,rna-aa,substrate
MG484_aa,MG484-AA,c,61,rna-aa,substrate
MG485_aa,MG485-AA,c,14,rna-aa,substrate
MG486_aa,MG486-AA,c,46,rna-aa,substrate
MG487_aa,MG487-AA,c,20,rna-aa,substrate
MG488_aa,MG488-AA,c,11,rna-aa,substrate
MG489_aa,MG489-AA,c,84,rna-aa,substrate
MG490_aa,MG490-AA,c,55,rna-aa,substrate
MG492_aa,MG492-AA,c,13,rna-aa,substrate
MG493_aa,MG493-AA,c,51,rna-aa,substrate
MG495_aa,MG495-AA,c,8,rna-aa,substrate
MG496_aa,MG496-AA,c,9,rna-aa,substrate
MG497_aa,MG497-AA,c,9,rna-aa,substrate
MG499_aa,MG499-AA,c,42,rna-aa,substrate
MG500_aa,MG500-AA,c,60,rna-aa,substrate
MG501_aa,MG501-AA,c,36,rna-aa,substrate
MG502_aa,MG502-AA,c,75,rna-aa,substrate
MG503_aa,MG503-AA,c,46,rna-aa,substrate
MG504_aa,MG504-AA,c,10,rna-aa,substrate
MG506_aa,MG506-AA,c,16,rna-aa,substrate
MG507_aa,MG507-AA,c,23,rna-aa,substrate
MG508_aa,MG508-AA,c,61,rna-aa,substrate
MG509_aa,MG509-AA,c,56,rna-aa,substrate
MG510_aa,MG510-AA,c,50,rna-aa,substrate
MG511_aa,MG511-AA,c,55,rna-aa,substrate
MG512_aa,MG512-AA,c,62,rna-aa,substrate
MG513_aa,MG513-AA,c,54,rna-aa,substrate
MG514_aa,MG514-AA,c,56,rna-aa,substrate
MG518_aa,MG518-AA,c,19,rna-aa,substrate
MG519_aa,MG519-AA,c,26,rna-aa,substrate
MG520_aa,MG520-AA,c,33,rna-aa,substrate
MG523_aa,MG523-AA,c,14,rna-aa,substrate
MG_104_MONOMER,ribonuclease R,c,15,protein-monomer,enzyme
MG_083_MONOMER,peptidyl-tRNA hydrolase,c,15,protein-monomer,enzyme
